ID,Education,Age,DaysAsCustomer,Marital_Status,Kidhome,Teenhome,Country,Recency,Purchases, Income ,CampaingsAccepted,Complain,Spent,Cluster
1826,Graduation,53,3392,Divorced,0,0,Spain,0,15,84835.0,0,0,1190,B
1,Graduation,62,3393,Single,0,0,Canada,0,18,57091.0,1,0,577,C
10476,Graduation,65,3426,Married,0,1,USA,0,11,67267.0,0,0,251,A
1386,Graduation,56,3428,Together,1,1,Australia,0,4,32474.0,0,0,11,A
5371,Graduation,34,3461,Single,1,0,Spain,0,8,21474.0,1,0,91,A
7348,PhD,65,3483,Single,0,0,Spain,0,17,71691.0,0,0,1192,B
4073,2n Cycle,69,3530,Married,0,0,Germany,0,28,63564.0,1,0,1215,B
1991,Graduation,56,3541,Together,0,1,Spain,0,7,44931.0,0,0,96,A
4047,PhD,69,3548,Married,0,1,USA,0,20,65324.0,0,0,544,C
9477,PhD,69,3548,Married,0,1,India,0,20,65324.0,0,0,544,C
2079,2n Cycle,76,3563,Married,0,0,USA,0,22,81044.0,0,0,1208,B
5642,Master,44,3581,Together,1,0,Spain,0,12,62499.0,0,0,222,A
10530,PhD,64,3583,Widow,0,0,India,0,16,67786.0,0,0,1156,B
2964,Graduation,42,3635,Married,0,0,Canada,0,5,26872.0,0,0,72,A
10311,Graduation,54,3646,Married,0,1,Spain,0,25,4428.0,0,0,359,C
837,Graduation,46,3670,Married,1,1,Spain,0,12,54809.0,0,0,174,A
10521,Graduation,46,3670,Married,1,1,Spain,0,12,54809.0,0,0,174,A
10175,PhD,65,3711,Divorced,0,1,Spain,0,5,32173.0,0,0,22,A
1473,2n Cycle,63,3720,Single,0,1,Canada,0,7,47823.0,0,0,72,A
2795,Master,65,3742,Single,2,1,Canada,0,4,30523.0,0,0,13,A
2285,Master,69,3776,Together,0,1,Saudi Arabia,0,15,36634.0,0,0,335,A
115,Master,57,3839,Single,0,1,India,0,17,43456.0,0,0,393,C
10470,Master,44,3850,Married,1,0,Germany,0,8,40662.0,0,0,92,A
4065,PhD,47,3881,Married,1,0,Spain,0,16,49544.0,0,0,404,C
10968,Graduation,54,3962,Single,0,1,India,0,26,57731.0,0,0,704,C
5985,Master,58,4003,Single,0,1,Spain,0,10,33168.0,0,0,122,A
5430,Graduation,67,4032,Together,1,1,Spain,0,31,54450.0,0,0,684,C
8432,Graduation,67,4032,Together,1,1,Spain,0,31,54450.0,0,0,684,C
453,PhD,67,3379,Widow,1,1,Spain,1,7,35340.0,0,0,45,A
9687,Graduation,48,3408,Single,0,0,Canada,1,16,73170.0,0,0,726,C
8890,PhD,52,3409,Divorced,1,1,Spain,1,14,65808.0,0,0,272,A
9264,Graduation,37,3442,Married,0,0,Canada,1,22,79529.0,0,0,1638,D
5824,PhD,51,3458,Together,2,1,Australia,1,4,34578.0,0,0,8,A
5794,PhD,49,3483,Married,0,1,India,1,18,46374.0,2,0,446,C
3068,Graduation,33,3622,Married,0,0,Spain,1,6,18351.0,0,0,43,A
7962,PhD,36,3642,Single,0,0,Spain,1,12,95169.0,2,0,1901,D
2681,2n Cycle,39,3711,Married,0,0,Spain,1,19,65370.0,0,0,461,C
10141,Master,63,3794,Divorced,0,0,Saudi Arabia,1,4,39228.0,0,0,20,A
3725,PhD,62,3795,Single,0,0,Spain,1,16,84865.0,4,0,1688,D
3767,Graduation,55,3809,Married,0,1,Spain,1,24,61314.0,0,0,1008,B
5585,Graduation,51,3814,Single,1,0,Canada,1,7,21359.0,0,0,48,A
7030,PhD,68,3835,Married,0,1,Spain,1,35,66465.0,1,0,1485,D
1524,2n Cycle,40,3864,Single,0,0,Spain,1,16,81698.0,1,0,1104,B
3657,Graduation,37,3879,Single,1,0,Spain,1,11,39146.0,0,0,165,A
5740,2n Cycle,53,3879,Divorced,1,1,Spain,1,7,25959.0,0,0,56,A
9595,Graduation,62,3913,Together,0,0,Spain,1,14,64260.0,0,0,1574,D
3158,Graduation,50,3921,Married,1,0,Spain,1,5,32300.0,0,0,39,A
5114,Master,58,3936,Married,0,1,Australia,1,16,74806.0,0,0,965,B
340,Graduation,53,3940,Divorced,0,1,Germany,1,19,72967.0,1,0,497,C
8805,Graduation,63,3953,Single,0,1,USA,1,17,48904.0,0,0,371,C
1241,2n Cycle,39,4029,Married,1,0,Germany,1,6,14796.0,0,0,51,A
1402,Master,69,4035,Married,0,0,Germany,1,21,66991.0,0,0,1253,B
7264,2n Cycle,45,3427,Single,2,1,Saudi Arabia,2,4,52195.0,0,0,17,A
1619,Graduation,67,3441,Married,0,0,Spain,2,17,90369.0,0,0,1588,D
6398,Basic,49,3471,Married,1,0,Spain,2,8,18393.0,0,0,50,A
1857,Graduation,71,3494,Single,1,1,Spain,2,7,47139.0,0,0,83,A
4877,Master,50,3496,Married,0,1,India,2,5,38576.0,0,0,41,A
3066,PhD,48,3524,Together,0,1,Saudi Arabia,2,12,61905.0,0,0,231,A
10286,Graduation,61,3525,Married,0,0,Saudi Arabia,2,24,83715.0,0,0,926,B
1992,Graduation,59,3558,Married,0,1,Spain,2,16,60597.0,1,0,893,B
4246,Master,41,3578,Single,0,0,Spain,2,2,6560.0,0,0,373,C
10623,Master,62,3605,Together,0,1,Spain,2,5,48330.0,0,0,32,A
4867,PhD,55,3661,Single,1,1,Spain,2,11,38236.0,0,0,88,A
3112,Master,46,3676,Married,1,0,Spain,2,5,22701.0,0,0,24,A
4865,Master,49,3681,Divorced,1,1,Australia,2,21,53367.0,0,0,400,C
6287,Graduation,37,3713,Together,1,0,Spain,2,5,34728.0,0,0,36,A
4405,Master,67,3713,Married,0,2,Australia,2,23,63915.0,0,0,789,C
5332,2n Cycle,63,3716,Married,0,0,India,2,17,82504.0,0,0,1066,B
